trainsize,trainsizepc,ALBugPrecision,BLBugPrecision,ALBugRecall,BLBugRecall,ALBugFscore,BLBugFscore,ALUserExpPrecision,BLUserExpPrecision,ALUserExpRecall,BLUserExpRecall,ALUserExpFscore,BLUserExpFscore,ALBugAUC,ALUserExpAUC,ALRatingPrecision,BLRatingPrecision,ALRatingRecall,BLRatingRecall,ALRatingFscore,BLRatingFscore,ALRatingAUC,ALFeaturePrecision,BLFeaturePrecision,ALFeatureRecall,BLFeatureRecall,ALFeatureFscore,BLFeatureFscore,ALFeatureAUC,BLBugAUC,BLUserExpAUC,BLRatingAUC,BLFeatureAUC,trainsizeFeature,trainsizepcFeature
120,15.83113456,0.670933635,0.637531604,0.829554064,0.858821771,0.735321998,0.707834716,0.656903003,0.615445406,0.775132365,0.827840601,0.701725805,0.687655004,0.698341652,0.67055747,0.801927238,0.817115395,0.685741228,0.632402359,0.732476403,0.686424085,0.755281072,0.695097947,0.74720283,0.724082631,0.572125986,0.6938967,0.594654319,0.734412192,0.65636605,0.637713821,0.732149454,0.692770691,120,17.88375559
140,18.46965699,0.695009945,0.644309535,0.820571865,0.867844027,0.748262024,0.716772451,0.677494466,0.623852984,0.771387002,0.842351726,0.715298026,0.702578446,0.718176527,0.691821608,0.792217677,0.826112757,0.739915126,0.639055996,0.761895559,0.703137078,0.773775096,0.709723501,0.748074859,0.733021181,0.601012242,0.713768315,0.622991007,0.750577165,0.66607956,0.651724998,0.743709596,0.70706628,140,20.86438152
160,21.10817942,0.715022415,0.638078771,0.812948286,0.884315635,0.757164662,0.716354412,0.684965583,0.631365781,0.787453842,0.837910296,0.728000493,0.708402782,0.731578285,0.703367262,0.798254749,0.828476164,0.744312379,0.650928281,0.767144007,0.714661873,0.779244262,0.708817247,0.742895827,0.794532972,0.624953629,0.745240408,0.641813328,0.773595092,0.663688393,0.659096255,0.751909874,0.715770855,160,23.84500745
180,23.74670185,0.724794139,0.629258687,0.810942492,0.904924642,0.762445548,0.726994974,0.699336968,0.634423266,0.776602775,0.849848448,0.733171711,0.716296948,0.738719982,0.712249883,0.816051906,0.834394489,0.751910621,0.647833139,0.781276171,0.716446647,0.793447604,0.722901773,0.740139368,0.801949309,0.644392824,0.758532097,0.665200727,0.786424176,0.665924572,0.665691876,0.755427743,0.726405236,180,26.82563338
200,26.38522427,0.732250681,0.626786885,0.832071623,0.918128014,0.778125803,0.737562655,0.7185058,0.627147335,0.767153052,0.867885729,0.739466631,0.718282515,0.752266993,0.723438644,0.824800106,0.84510815,0.760479361,0.635453185,0.790113563,0.712671965,0.802308567,0.729714574,0.738644272,0.825274601,0.660870559,0.772520002,0.674012411,0.799884018,0.672734209,0.663794014,0.75558417,0.732564709,200,29.80625931
220,29.0237467,0.750176483,0.626741764,0.831524528,0.92335044,0.787251934,0.740632428,0.722953602,0.635709409,0.789953143,0.868457491,0.752284917,0.724871514,0.76476744,0.73359526,0.837006815,0.859174011,0.763919795,0.609603318,0.797902161,0.704346974,0.810604476,0.742139611,0.743398783,0.834272977,0.674007187,0.784201435,0.687015782,0.811100458,0.675911207,0.673860281,0.752494944,0.741420179,220,32.78688525
240,31.66226913,0.760171995,0.626341477,0.833572925,0.928157466,0.793512259,0.743125928,0.733093005,0.637550112,0.802534742,0.870531573,0.763897528,0.727274215,0.771610549,0.744543717,0.837783275,0.860994717,0.778776525,0.612291678,0.80597926,0.70753446,0.817548271,0.741150698,0.748307549,0.855860638,0.661700198,0.793345129,0.68238248,0.820556245,0.677111341,0.67715203,0.754186275,0.739630181,240,35.76751118
260,34.30079156,0.772441474,0.630844487,0.840407562,0.931275366,0.803224149,0.747784134,0.743595891,0.63841998,0.809263323,0.875700711,0.773086087,0.73064998,0.782407629,0.75413537,0.852531338,0.866569135,0.785785146,0.608261605,0.817039402,0.707538264,0.828525309,0.750576492,0.747567692,0.865624238,0.686830369,0.803090515,0.699930094,0.829917799,0.683183652,0.680554984,0.755022405,0.749339967,260,38.74813711
280,36.93931398,0.784394034,0.632435397,0.847095825,0.934526551,0.81324565,0.750581158,0.7569758,0.637768934,0.813257721,0.879435386,0.783007102,0.733808271,0.792749632,0.76464108,0.862365408,0.866811164,0.795216509,0.604838428,0.826775747,0.705689091,0.838327905,0.7662617,0.746461303,0.877230675,0.687492685,0.817235182,0.701561813,0.842427826,0.685746273,0.683097043,0.753704847,0.749554289,280,41.72876304
300,39.57783641,0.793796363,0.634111927,0.853992674,0.937011489,0.821690613,0.753302282,0.764954285,0.645798139,0.826542735,0.876701539,0.79355911,0.737781284,0.801617417,0.774686168,0.868963023,0.873535225,0.805462824,0.59605373,0.835424764,0.701937964,0.846629295,0.771677045,0.74698799,0.89097822,0.707404531,0.826610709,0.716090981,0.852370634,0.688991662,0.68996458,0.752790297,0.758939273,300,44.70938897
320,42.21635884,0.807090292,0.631134125,0.863676303,0.940554698,0.833441236,0.75285642,0.778471252,0.645848408,0.83371083,0.880269647,0.803934886,0.739420456,0.813334641,0.785640502,0.88018094,0.877329146,0.812136372,0.594149121,0.844222453,0.70221887,0.855321153,0.781449361,0.748164846,0.90021417,0.711442151,0.836307856,0.718768458,0.859322526,0.687417573,0.690474294,0.753636159,0.760983387,320,47.6900149
340,44.85488127,0.822759019,0.628995007,0.870467861,0.943126453,0.845236164,0.752024826,0.782788773,0.647373402,0.851355659,0.883142326,0.81473927,0.741930788,0.826373421,0.794452581,0.89208572,0.877633847,0.817213118,0.585491358,0.852474833,0.696710805,0.863635705,0.790947627,0.749047363,0.906672634,0.721331074,0.844593061,0.725055766,0.867833465,0.685702569,0.693712835,0.750232267,0.765889254,340,50.67064083
360,47.49340369,0.83811385,0.633914154,0.879412607,0.946480624,0.857588627,0.756956571,0.789898244,0.651363344,0.859639993,0.88471193,0.822406041,0.745395337,0.839263799,0.801039272,0.902238501,0.88112851,0.822855241,0.581866747,0.860260703,0.696097893,0.871167001,0.800094563,0.745218774,0.916797892,0.730476487,0.854060266,0.728410185,0.876443527,0.691224989,0.698241949,0.750212104,0.767746341,360,53.65126677
380,50.13192612,0.850725278,0.633820218,0.88574884,0.944495869,0.867183811,0.756118733,0.800105682,0.647233659,0.866492768,0.891594041,0.831051801,0.745663588,0.84879526,0.806942764,0.911114049,0.883860561,0.830806284,0.59026463,0.868834249,0.703984999,0.879166553,0.812986359,0.742850506,0.923630832,0.742336327,0.864387012,0.734049566,0.886454047,0.690919094,0.697080912,0.75535918,0.771838607,380,56.6318927
