trainsize,trainsizepc,L-ALBugPrecision,BLBugPrecision,L-ALBugRecall,BLBugRecall,L-ALBugFscore,BLBugFscore,L-ALUserExpPrecision,BLUserExpPrecision,L-ALUserExpRecall,BLUserExpRecall,L-ALUserExpFscore,BLUserExpFscore,L-ALRatingPrecision,BLRatingPrecision,L-ALRatingRecall,BLRatingRecall,L-ALRatingFscore,BLRatingFscore,L-ALFeaturePrecision,BLFeaturePrecision,L-ALFeatureRecall,BLFeatureRecall,L-ALFeatureFscore,BLFeatureFscore,L-ALMacroPrecision,L-ALMacroRecall,L-ALMacroFscore,BLMacroPrecision,BLMacroRecall,BLMacroFscore,M-ALBugPrecision,M-ALBugRecall,M-ALBugFscore,M-ALUserExpPrecision,M-ALUserExpRecall,M-ALUserExpFscore,M-ALRatingPrecision,M-ALRatingRecall,M-ALRatingFscore,M-ALFeaturePrecision,M-ALFeatureRecall,M-ALFeatureFscore,M-ALMacroPrecision,M-ALMacroRecall,M-ALMacroFscore,E-ALBugPrecision,E-ALBugRecall,E-ALBugFscore,E-ALUserExpPrecision,E-ALUserExpRecall,E-ALUserExpFscore,E-ALRatingPrecision,E-ALRatingRecall,E-ALRatingFscore,E-ALFeaturePrecision,E-ALFeatureRecall,E-ALFeatureFscore,E-ALMacroPrecision,E-ALMacroRecall,E-ALMacroFscore
340,23.79286214,0.496381884,0.484156456,0.808488194,0.825654881,0.602725795,0.593294559,0.496077495,0.520200667,0.722173543,0.670103689,0.570950287,0.551203168,0.769760094,0.761186075,0.348932966,0.375135445,0.462498561,0.470648267,0.4985331,0.450768808,0.073339448,0.071821602,0.116390572,0.096983865,0.565188143,0.488233538,0.438141304,0.554078001,0.485678904,0.428032465,0.501197033,0.816568637,0.595117197,0.513442195,0.693705605,0.573169348,0.774900391,0.357484839,0.471614512,0.440554236,0.103207381,0.148486909,0.557523464,0.492741616,0.447096991,0.489005488,0.802680222,0.589514149,0.504139387,0.676263642,0.548213037,0.803033306,0.324640951,0.436917648,0.616298681,0.120534188,0.15644437,0.603119216,0.481029751,0.432772301
380,26.59202239,0.508002815,0.481362265,0.804240284,0.837252551,0.610937858,0.595631671,0.500152693,0.51851747,0.740844033,0.671135641,0.583109815,0.555587472,0.770722724,0.773378319,0.347689282,0.382309309,0.464983959,0.485333562,0.526512515,0.44948171,0.095332251,0.065005808,0.145771316,0.092429062,0.576347687,0.497026462,0.451200737,0.555684941,0.488925827,0.432245442,0.510296932,0.831960229,0.610788572,0.527482477,0.698069275,0.585916578,0.776881976,0.372910518,0.486882144,0.467689361,0.11816416,0.169655222,0.570587686,0.505276045,0.463310629,0.494194179,0.819123973,0.59922152,0.505967861,0.699123747,0.56479504,0.83819206,0.300326362,0.423697872,0.634351855,0.130222359,0.171473463,0.618176489,0.48719911,0.439796974
420,29.39118265,0.517657143,0.481869155,0.79915086,0.852358939,0.618102508,0.602158097,0.49835307,0.529648545,0.758897562,0.68039588,0.591596048,0.572256982,0.763308481,0.775408812,0.342173009,0.385275016,0.46221263,0.489397978,0.494699808,0.44974792,0.106222882,0.062068321,0.16145509,0.083665237,0.568504625,0.501611078,0.458341569,0.559168608,0.495024539,0.436869573,0.518497994,0.835780671,0.619305629,0.537217372,0.714172018,0.600417432,0.780412591,0.38080104,0.498194365,0.458745597,0.123924815,0.178369708,0.573718388,0.513669636,0.474071784,0.49665834,0.838228185,0.60866344,0.506699717,0.70887777,0.572269122,0.866746625,0.273866388,0.403480663,0.649964297,0.14150449,0.189075402,0.630017245,0.490619208,0.443372157
460,32.1903429,0.5287722,0.481148021,0.790805343,0.861284456,0.624445432,0.607798664,0.494216686,0.535921971,0.770667114,0.687686533,0.59465344,0.580167805,0.75737538,0.770695844,0.337611457,0.387488636,0.458554948,0.490801796,0.49234807,0.490911691,0.120534526,0.056563663,0.181508464,0.084837195,0.568178084,0.50490461,0.464790571,0.569669382,0.498255822,0.440901365,0.518473382,0.844197734,0.625694062,0.5450544,0.71454463,0.606388235,0.780114687,0.38356467,0.502112236,0.45361918,0.124581061,0.181172842,0.574315412,0.516722024,0.478841843,0.498363688,0.852043282,0.614683762,0.514590712,0.709249108,0.580294945,0.890160625,0.272475717,0.406959728,0.628797721,0.153088451,0.202655392,0.632978186,0.496714139,0.451148457
500,34.98950315,0.540572519,0.482712469,0.786595898,0.866272268,0.633430457,0.61189312,0.497374348,0.533284009,0.780944263,0.696012728,0.601290427,0.584995763,0.750134692,0.780501652,0.336650747,0.383195743,0.458035378,0.493965305,0.497760943,0.489103156,0.142739869,0.059383581,0.209158167,0.089717644,0.571460625,0.511732694,0.475478607,0.571400322,0.50121608,0.445142958,0.524340905,0.847539952,0.633497323,0.551085611,0.720515426,0.61548006,0.779415181,0.387901834,0.508379641,0.467453872,0.141066665,0.198702533,0.580573892,0.524255969,0.489014889,0.504493114,0.869728151,0.625306896,0.526325759,0.711822041,0.591009036,0.910899362,0.283069506,0.421471158,0.624114287,0.1602656,0.213894414,0.64145813,0.506221324,0.462920376
540,37.7886634,0.556485447,0.482490378,0.786178756,0.870948358,0.645124057,0.615001279,0.496475729,0.532269385,0.784861657,0.707859783,0.602860034,0.595270821,0.736788258,0.788765511,0.328539137,0.381028499,0.449128914,0.49388017,0.524508769,0.459069901,0.174042082,0.057109695,0.247394626,0.087485673,0.578564551,0.518405408,0.486126908,0.565648794,0.504236584,0.447909486,0.531685669,0.849694075,0.640773696,0.555600323,0.731947723,0.622790558,0.781980985,0.384464308,0.506912377,0.457403171,0.147206311,0.20678849,0.581667537,0.528328105,0.49431628,0.511300404,0.888830124,0.638635324,0.533101565,0.71515781,0.600892663,0.917626506,0.290397173,0.431377026,0.63787682,0.167863922,0.225342212,0.649976324,0.515562257,0.474061806
580,40.58782365,0.565038745,0.4837357,0.778376644,0.875004548,0.647966345,0.618465051,0.497355212,0.533109137,0.791650459,0.717041668,0.606717723,0.600527625,0.726870544,0.789272575,0.318850274,0.374626631,0.439369951,0.490754515,0.516951872,0.456886609,0.194076374,0.058801833,0.268981184,0.092691789,0.576554093,0.520738438,0.490758801,0.565751006,0.50636867,0.450609745,0.538905106,0.848986322,0.647452464,0.559803916,0.737329918,0.628655383,0.782285617,0.391036726,0.513805656,0.454373591,0.157480746,0.219325644,0.583842057,0.533708428,0.502309787,0.51566764,0.902297582,0.646897818,0.540252574,0.711032712,0.604521157,0.926534568,0.296255647,0.439945359,0.634192487,0.179994135,0.241835537,0.654161817,0.522395019,0.483299968
620,43.3869839,0.575642012,0.488032772,0.775361517,0.874402146,0.654556598,0.621394416,0.499125206,0.535954835,0.794642084,0.724642691,0.609389668,0.604769408,0.721664854,0.79493396,0.309270518,0.376102351,0.429516887,0.495157443,0.510140369,0.450962332,0.222461144,0.059875257,0.297972403,0.096744301,0.57664311,0.525433816,0.497858889,0.567470975,0.508755611,0.454516392,0.547627628,0.853420248,0.657066764,0.566324927,0.743698573,0.636101975,0.77846725,0.396452231,0.51845943,0.454982911,0.168301414,0.233645955,0.586850679,0.540468116,0.511318531,0.516086164,0.914662884,0.652097888,0.550900777,0.710971262,0.612311526,0.929512858,0.307109331,0.452235422,0.634288962,0.173929779,0.238198736,0.65769719,0.526668314,0.488710893
660,46.18614416,0.579841864,0.486826103,0.770217944,0.876687124,0.655525275,0.62110815,0.502027492,0.536339675,0.788734055,0.724101555,0.609739834,0.60524682,0.71593341,0.79369878,0.307730426,0.379330675,0.426548494,0.501113703,0.499639639,0.459376225,0.240541515,0.061332917,0.31386835,0.100724742,0.574360601,0.526805985,0.501420488,0.569060196,0.510363068,0.457048354,0.554914107,0.858118481,0.664979703,0.575391918,0.757121308,0.64699765,0.782195238,0.396669147,0.520254193,0.460470409,0.174288535,0.241201149,0.593242918,0.546549368,0.518358174,0.518999457,0.926472661,0.658999281,0.561583072,0.712538326,0.620619045,0.934690766,0.317808516,0.465460405,0.619705013,0.172109386,0.238843074,0.658744577,0.532232222,0.495980451
700,48.98530441,0.587713057,0.487159924,0.770503788,0.886471849,0.661226515,0.624634683,0.504022567,0.538130831,0.783658075,0.720920388,0.610207191,0.606673609,0.702813922,0.788952975,0.302057975,0.382757585,0.419324335,0.503776967,0.483754932,0.486978301,0.254508506,0.058424877,0.324357603,0.09872503,0.56957612,0.527682086,0.503778911,0.575305508,0.512143675,0.458452572,0.563986876,0.857034753,0.670628749,0.580029191,0.764525376,0.653350353,0.782866884,0.401817138,0.525526905,0.449149779,0.18145923,0.245925158,0.594008183,0.551209124,0.523857791,0.524642432,0.935502009,0.666786222,0.571562774,0.712484204,0.62811108,0.939882843,0.330698315,0.480541788,0.608755978,0.181117841,0.248509895,0.661211007,0.539950592,0.505987246
